Codigo;Componente;Tema;Articulo;Texto_Articulo;Activo
ORD-039;Habilitación del suelo, edificación y licencias urbanísticas;Del Informe Técnico Legal o Informe Técnico Favorable.;Artículo 39;"El informe técnico legal favorable del anteproyecto o proyecto técnico elaborado por la Mesa Técnica
Institucional permanente con delegados de Procuraduría y de la Dirección de Gestión de
Ordenamiento Territorial o Dirección de Gestión de Patrimonio según corresponda, es el instrumento
en el que se hace constar el cumplimiento de requisitos, Reglas Técnicas y Normas Administrativas
del anteproyecto o proyecto técnico, que se encuentran establecidas en la normativa municipal y
nacional vigente, que contendrá sus respectivas conclusiones y recomendaciones, cuya coordinación
la llevará la Dirección de Gestión de Ordenamiento Territorial o Dirección de Gestión de Patrimonio
según corresponda.
El informe técnico favorable será elaborado por técnicos de las Direcciones de Gestión de
Ordenamiento Territorial o Dirección de Gestión de Patrimonio de conformidad a su ámbito de
acción. Dicho informe es el instrumento en el que se hace constar el cumplimiento de requisitos,
Reglas Técnicas y Normas Administrativas del anteproyecto o proyecto técnico, que se encuentran
establecidas en la normativa municipal y nacional vigente, que contendrá sus respectivas conclusiones
y recomendaciones.
En fraccionamientos que requieran la realización de obras de infraestructura básica, en el informe
técnico legal favorable se hará constar la validación de los presupuestos para ejecución de Aceras,
Bordillos, Calzada con capa de rodadura terminada; y, áreas verdes y equipamiento comunal.
En el caso de proyectos Urbanos Arquitectónicos Especiales, el informe técnico favorable hará
constar la pertinencia del proyecto y las nuevas asignaciones de uso y/o zonificación, el criterio
urbanístico y recomendaciones técnicas que justifica la intervención y será puesto en conocimiento
del Concejo Municipal para su aprobación.
Para Propiedades Horizontales, el informe técnico legal favorable deberá contener además de lo
enunciado en párrafos anteriores el cuadro de alícuotas de bienes exclusivos, la descripción de
linderos generales y específicos y las superficies correspondientes a cada uno, así como el detalle de
los bienes comunales y áreas verdes con especificación de superficies, linderos y ubicación. A los
bienes de uso comunal no se asignará alícuotas debiendo constar de manera detallada en concordancia
con las Normas de Arquitectura y Urbanismo.
El Informe técnico legal favorable o informe técnico no autoriza trabajo de intervención física alguna.";Sí
ORD-040;Habilitación del suelo, edificación y licencias urbanísticas;Habilitación de Suelo.;Artículo 40;"La habilitación del suelo es el proceso técnico para lograr a través de la acción material y de manera
ordenada, la adecuación de los espacios para la localización de asentamientos humanos y sus
actividades. Esta habilitación se realiza a través de fraccionamientos (Subdivisión, Urbanización y
Fraccionamiento Agrícola), integración o unificación de lotes y reestructuraciones parcelarias, de las
que resulten nuevos lotes o solares susceptibles de transferencia de dominio.
Toda habilitación de suelo que se realicen en el Cantón Riobamba deben sujetarse al otorgamiento y
obtención de la correspondiente Licencia Urbanística, en los términos establecidos en este Libro y se
sujetará a las disposiciones sobre uso de suelo y zonificación establecidas en el Plan de Uso y Gestión
del Suelo. No se exigirá el cumplimiento del lote mínimo en aquellas reestructuraciones parcelarias
cuyos lotes intervinientes no cumplan con el área solicitada.";Sí
ORD-041;Habilitación del suelo, edificación y licencias urbanísticas;Contribución de Áreas verdes, comunitarias y vías.;Artículo 41;"Para obtener las correspondientes Licencias de Habilitación, en los fraccionamientos el propietario o
promotor deberá entregar a la Municipalidad en forma de cesión gratuita y obligatoria mínimo el
quince por ciento (15%) calculado del área útil urbanizable del terreno para áreas verdes y
equipamiento comunitario, destinando exclusivamente para áreas verdes al menos el cincuenta por
ciento de la superficie entregada. Se exceptúan de esta entrega, las tierras rurales que se fraccionen
con fines de partición hereditaria, donación o venta; siempre y cuando no se destinen para
urbanización y lotización.
El área útil urbanizable es el resultado de descontar del área bruta, las áreas para la localización de la
infraestructura para el sistema vial aprobadas por la municipalidad, redes de servicios públicos, áreas
de conservación (afectaciones de infraestructura existente) y protección de los recursos naturales y
paisajísticos; y, áreas correspondientes a zonas de cesión obligatoria para vías locales.
El equipamiento comunitario se establecerá de conformidad a la sección correspondiente al
equipamiento de servicios sociales y servicios públicos, contenidas en las Normas de Arquitectura y
Construcción.
En proyectos urbanos arquitectónicos especiales se procurará que las contribuciones de áreas verdes
superen el quince por ciento (15%).
Para los casos de exoneración o compensación del área verde se aplicará lo dispuesto en la normativa
nacional.
La entrega obligatoria de áreas verdes, comunitarias y de vías no excederá del treinta y cinco por
ciento (35%) del área útil urbanizable del terreno o predio. De superarse este porcentaje el
administrado deberá cumplir con la cesión obligatoria del 15% para área verde y equipamiento
comunitario y el 20% para vías; si excede del 20% en vías podrá realizar su cesión gratuita como
carga urbanística, continuando con el respectivo trámite de habilitación del suelo, de no ser su
voluntad realizar la cesión gratuita deberá agotarse el procedimiento de declaratoria de utilidad
pública para continuar con el trámite de habilitación de suelo.
En el caso de fraccionamiento de predios con una superficie inferior a tres mil metros cuadrados se
sujetará a lo que dispone la normativa específica nacional.
Para el diseño de áreas verdes y equipamiento comunitario, se deberá observar el frente mínimo
especificado para la zona de planeamiento en el que se proyecta la habilitación de suelo, y deberá
tener frente obligatoriamente a una vía pública vehicular.
El diseño de las vías se realizará observando: conectividad con la trama vial aprobada por la
municipalidad, las dimensiones y características de las vías que se especifican en la Normas de
Arquitectura y Construcción; y, respetando las afectaciones que se especifican en el PUGS.
No pueden ser destinadas para espacios verdes, recreativas y equipamiento comunal las áreas
afectadas por vías, quebradas, taludes; áreas de protección de riberas de ríos, quebradas y taludes;
áreas de protección especial (líneas de alta tensión, oleoductos, poliductos, acueductos, canales de
riego, etc.; así como, las vecinas a predios inundables o que presenten pendientes superiores a 30
Grados. Las obras de mitigación de ser el caso se deberán incluir obligatoriamente dentro de las obras
de urbanización correspondientes.";Sí
ORD-042;Habilitación del suelo, edificación y licencias urbanísticas;Garantía para la habilitación del suelo.;Artículo 42;"Para obtener la correspondiente Licencia Urbanística de habilitación de suelo y asegurar que el
administrado ejecute y entregue las obras conforme el proyecto técnico, éste deberá constituir a favor
del Gobierno Autónomo Descentralizado del Municipio de Riobamba una garantía de entre las
previstas en éste parágrafo, por un monto equivalente al 100% del valor total de las obras a ejecutarse.
Las garantías referidas en el inciso anterior podrán ser devueltas o canceladas una vez suscritas las
actas de entrega recepción provisionales; y, la garantía por concepto de fiel cumplimiento para
garantizar el correcto funcionamiento de las obras construidas, por un monto equivalente al 5% del
valor total de las obras cuya recepción le corresponde directamente al GADM de Riobamba, hasta la
obtención del Informe Aprobatorio de Finalización de obras de habilitación.
El administrado asumirá los costos derivados de la obtención de estas garantías.
Las garantías serán entregadas a la Dirección de Gestión Financiera la cual emitirá la respectiva
certificación de su recepción.
Se exonera de esta garantía a los fraccionamientos que no requieran la realización de obras de
infraestructura básica.";Sí
ORD-043;Habilitación del suelo, edificación y licencias urbanísticas;Garantías que puede aceptarse para la habilitación del suelo.;Artículo 43;"El Gobierno Autónomo Descentralizado Municipal de Riobamba aceptará como garantías:
1. Primera hipoteca de lotes resultantes del predio materia de la habilitación o lotes diferentes
al mismo, de conformidad con la valoración determinada por el subproceso de Avalúos y
Catastros. Esta garantía se constituirá mediante escritura pública y será protocolizada e
inscrita de manera simultánea con la licencia urbanística.
2. Prendas.
3. Papeles fiduciarios.
4. Garantías bancarias.
5. Pólizas de seguros.
6. Depósitos en moneda en curso legal.
Cuando se trate de pólizas de seguros o garantías bancarias, aquellas deberán cumplir como mínimo
los siguientes requisitos para que sean consideradas por la Municipalidad:
● Serán incondicionales, irrevocables y de cobro inmediato con la sola notificación de la
Administración Municipal de que el administrado incumplió la obligación principal, en
consecuencia, no se admitirán garantías que determinen trámites administrativos previos.
● Las garantías deberán otorgarse por todo el tiempo que se haya previsto para la ejecución de la
obra; o, deberá prever una cláusula de renovación automática hasta que el administrado obtenga
el Informe Aprobatorio de finalización de la obra.
En el caso de urbanizaciones que se construyan por etapas, el urbanizador constituirá a favor del
Gobierno Autónomo Descentralizado Municipal del Cantón Riobamba una garantía por el valor total
de las etapas que van a ejecutarse, la misma que podrá levantarse parcialmente de conformidad con
las etapas propuestas y el avance de las obras y su costo total.";Sí
ORD-044;Habilitación del suelo, edificación y licencias urbanísticas;Devolución y ejecución de garantías.;Artículo 44;"Para la devolución y ejecución de las garantías se estará a las reglas siguientes:
1. Una vez suscritas las respectivas actas de entrega recepción provisional y con la garantía por
concepto de fiel cumplimiento, el administrado podrá solicitar a la Autoridad Administrativa
Otorgante de la Licencia Urbanística la devolución o levantamiento de la garantía de ejecución
de obras,
2. Para la devolución de la garantía por concepto de fiel cumplimiento, el administrado deberá
contar con el Informe Aprobatorio de Finalización de obras de habilitación, siendo la Autoridad
Administrativa Otorgante de la Licencia Urbanística quien autorice la devolución o
levantamiento de la misma.
3. En caso de que, en la inspección final, el órgano administrativo pertinente estableciera que la
obra concluida presentare inconsistencias con la licencia otorgada, enviará el informe
respectivo a la Comisaría Municipal para que se inicie el procedimiento administrativo
sancionador, sin perjuicio de que la autoridad administrativa otorgante ejecute la garantía en la
proporción equivalente al incumplimiento.
4. Si el administrado no finalizare las obras en el plazo establecido en la licencia otorgada, el
órgano de instrucción, iniciará el procedimiento administrativo sancionador, y notificará al
órgano sancionador para que imponga las sanciones que correspondan por la infracción
cometida incluyendo la ejecución de la garantía; en la proporción equivalente al
incumplimiento más el recargo por concepto de ejecución sustitutoria de conformidad a lo
establecido en la norma que regula el ejercicio de la función administrativa de los organismos
que conforman el sector público.
5. El valor de la garantía ejecutada será destinado para la terminación y/o correctivo de las obras
de habilitación. Para tal efecto, la Dirección de Gestión de Ordenamiento Territorial o
Patrimonio Cultural según corresponda, establecerá el faltante y/o deficiencias de las obras e
iniciará el procedimiento de contratación pública para su ejecución.";Sí
ORD-045;Habilitación del suelo, edificación y licencias urbanísticas;De las Transferencias de Dominio de áreas verdes, equipamiento comunitario, vías y lotes producto del fraccionamiento.;Artículo 45;"La Licencia Urbanística de Habilitación de Suelo protocolizada e inscrita, constituye el título de
transferencia de dominio de áreas verdes, equipamiento comunitario y vías a favor del Gobierno
Autónomo Descentralizado Municipal del Cantón Riobamba.
Las transferencias de dominio de los lotes producto del fraccionamiento a favor de terceros, podrá
realizarse una vez que el administrado haya obtenido las actas de entrega recepción provisionales de
todas las obras de infraestructura, áreas verdes y equipamiento comunal.";Sí
ORD-046;Habilitación del suelo, edificación y licencias urbanísticas;Objeto y Alcance del Anteproyecto y la Licencia Urbanística de Subdivisión del Suelo.;Artículo 46;"A través de la Aprobación de Anteproyectos de subdivisiones siempre que requiera la ejecución de
obras de infraestructura básica, el Gobierno Autónomo Descentralizado Municipal de Riobamba
faculta al administrado realizar los estudios de ingeniería necesarios para la ejecución del proyecto
de subdivisión.
La Licencia Urbanística de Subdivisión, el Gobierno Autónomo Descentralizado Municipal del
Cantón Riobamba autoriza al administrado la subdivisión requerida y de ser el caso el inicio de la
ejecución de obras, de acuerdo al informe técnico favorable del cumplimiento de las reglas técnicas
y normas administrativas.";Sí
ORD-047;Habilitación del suelo, edificación y licencias urbanísticas;Tipos de Proyectos de Subdivisión.;Artículo 47;"Los proyectos de subdivisión son propuestas que tienen por finalidad dividir y habilitar nuevos lotes,
conforme la zonificación establecida en el Plan de Uso y Gestión del Suelo y las contribuciones de
áreas verdes, equipamiento comunitario y vías, estas pueden ser:
a. Subdivisiones de dos a diez lotes en suelo urbano. - En áreas urbanas, la división del suelo
propuesta no deberá contener más de diez lotes o solares y todos los lotes además de las áreas
verdes y comunales tendrán obligatoriamente frente a una vía pública vehicular.
En áreas históricas se permiten subdivisiones en predios inventariados siempre que no dividan a
crujías o unidades constructivas con continuidad estructural o cuando estén constituidas por varias
unidades que no integren un conjunto unitario de carácter morfológico, funcional o estilístico. No
se permite la subdivisión de predios que contengan conjuntos o edificaciones monumentales o de
interés especial catalogados de protección absoluta.
En polígonos patrimoniales, para autorizar subdivisiones de un predio, se tomarán en cuenta las
siguientes disposiciones: Se permite la subdivisión de unidades prediales edificadas, solamente
cuando estén constituidas por varias unidades constructivas que no integren un conjunto unitario
de carácter morfológico, funcional o estilístico, siempre que no se corten crujías o unidades
constructivas con continuidad estructural.
El terreno edificable de un predio protegido e inventariado es susceptible de subdivisión. Si se
subdividiere el predio, la edificación protegida conservará un área libre de terreno igual o mayor
al 50% de la superficie construida.
Serán considerados casos especiales para fraccionamiento cuando se trate de particiones de
carácter hereditario, partición judicial o donación conforme lo establecido en el Plan de Uso y
Gestión de Suelo.
b. Subdivisiones de dos a diez lotes en suelo rural. -
En el suelo rural de expansión urbana se permitirá la subdivisión de dos a diez lotes, de acuerdo a
lo establecido en los Polígonos Especiales de Interés Social, si los predios se encuentran destinados
a vivienda se deberá cumplir con las obras de infraestructura y entrega de áreas verdes,
comunitarias y vías.
El suelo rural de aprovechamiento extractivo podrá ser subdividido observando las condiciones
establecidas en el PUGS.
c. Fraccionamiento agrícola. -
Se considera fraccionamiento agrícola el que afecta a terrenos situados en zonas rurales destinados
a cultivos o explotación agropecuaria. De ninguna manera se podrá fraccionar bosques, humedales
y otras áreas consideradas ecológicamente sensibles de conformidad con la ley.
Esta clase de fraccionamientos se sujetarán a este Código, a las leyes agrarias y al plan de
ordenamiento territorial cantonal.
Se podrá subdividir observando las condiciones establecidas en el PUGS. Se aplicarán las reglas
generales que establece la normativa nacional, siempre que todos los lotes propuestos tengan
frente a una vía pública certificada, o con una propuesta aprobada por el ente competente.
Se prohíbe la subdivisión del suelo rural de protección y conservación en predios catalogados
como tales por el Ministerio Rector, para los demás casos se observará las condiciones establecidas
en el PUGS.";Sí
ORD-048;Habilitación del suelo, edificación y licencias urbanísticas;Excepciones;Artículo 48;"No se considera como subdivisión:
a. La individualización de lotes originados por partición judicial que pueden generarse en suelo
urbano o rural, sin embargo, deberán sujetarse a las afectaciones y zonificación del Plan de Uso
y Gestión del Suelo, porcentajes de contribución de área verde y equipamiento comunal; y,
demás normativas vigentes.
b. El fraccionamiento que practica el Gobierno Autónomo Descentralizado del Municipio del
Cantón Riobamba mediante resolución del Concejo Municipal en los bienes sobre los que ejerce
dominio.
c. El fraccionamiento que resulte de la expropiación parcial o desmembración de un lote practicada
por un ente público. Las posteriores habilitaciones de suelo en lotes producto de esta
expropiación se sujetarán a las disposiciones de esta Ordenanza y el Plan de Uso y Gestión del
Suelo.e";Sí
ORD-049;Habilitación del suelo, edificación y licencias urbanísticas;Procedimiento para la Aprobación de Anteproyectos de Subdivisión.;Artículo 49;"Las solicitudes de Aprobación de Anteproyectos de Subdivisiones de dos a diez predios que requieran
la realización de obras de infraestructura básica se tramitarán mediante procedimiento simplificado.";Sí
ORD-050;Habilitación del suelo, edificación y licencias urbanísticas;Requisitos para la Aprobación de Anteproyectos de Subdivisión. - Requisitos generales:;Artículo 50;"● Solicitud en formulario normalizado, dirigida al director de Gestión de Ordenamiento Territorial
o Patrimonio según corresponda, suscrito por el o los propietarios y el profesional responsable, en
el caso que el propietario sea una persona jurídica será suscrito por el representante legal;
● Comprobante de pago de tasa administrativa;
● Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente);
● Factibilidades de agua potable, alcantarillado, energía eléctrica y telecomunicaciones;
● Un original en físico y digital en formato dwg o dxf más las coordenadas geográficas en formato
Excel del proyecto Técnico de Anteproyecto de Subdivisión con obras para efecto de revisión de
la propuesta, una vez que la misma sea aprobada deberá presentarse 2 originales adicionales.
● Copia del RUC y patente municipal del profesional responsable.
● Copia simple del título que justifique la propiedad del inmueble inscrita en el Registro de la
Propiedad y Certificado de gravámenes actualizado.
● Pago de impuesto predial
Requisitos complementarios
● En caso de copropiedad la designación de un representante común, que podrá realizarse en el
formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o mediante
poder.";Sí
ORD-051;Habilitación del suelo, edificación y licencias urbanísticas;Contenido de la Propuesta Técnica del Anteproyecto de Subdivisión.;Artículo 51;"Para la aprobación de Anteproyectos de subdivisión, se deberá presentar la propuesta técnica del
mismo suscrito por el propietario del predio, el promotor en caso de que corresponda y el profesional
técnico respectivo, y contendrá lo siguiente:
1. Memoria Técnica que contendrá el detalle de la propuesta de subdivisión con los siguientes
datos:
● Linderos y dimensiones generales, con cuadro de coordenadas y área total del predio.
● Linderos y dimensiones de los lotes propuestos, con cuadro de coordenadas y área de cada
predio.
● De ser el caso, área, linderos y dimensiones de la propuesta de área verde y comunal con
cuadro de coordenadas.
● De ser el caso, linderos y dimensiones de propuesta de vías y cuadro de coordenadas y área
de vías propuestas.
● Cuadro de áreas de acuerdo al plano de propuesta
2. Planos en formato A1 o A0, con lo siguiente:
● Ubicación georeferenciada que debe abarcar una zona de 300 m. de radio, con su correcta
orientación y nombres de calles, en la que se identifique claramente el predio donde se
implantará el proyecto (Sin escala);
● Levantamiento planimétrico y/o topográfico georeferenciado del terreno en el sistema de
coordenadas oficial UTM, WGS 84, zona 17, latitud Sur, en el que se indiquen de ser el caso
las construcciones existentes, líneas de alta tensión, acequias, canales de riego y quebradas,
con sus respectivos márgenes de protección, en el que se hará constar las dimensiones de los
linderos, detalle de los colindantes;
● Propuesta vial observando: conectividad con la trama vial aprobada por la GADM de
Riobamba en un radio mínimo de 500 m., las dimensiones y características de las vías que se
especifican en la Normas de Arquitectura y Urbanismo para accesos vehiculares y respetando
las afectaciones que se especifican en el PUGS;
● Propuesta de fraccionamiento de lotes con determinación de linderos, dimensiones y cabidas,
de acuerdo a lo establecido en las Normas de Arquitectura y Urbanismo y en el Plan de Uso
y Gestión de Suelo;
● Propuesta de adosamientos y retiros, de acuerdo a la norma establecida en el Plan de Uso y
Gestión de Suelo;
● De ser el caso la propuesta y/o diseño de áreas verdes y/o comunales;
● Cortes del terreno, para identificar secciones de vías, pendientes, ríos, quebradas y otros.
● Cuadro de datos que contenga:
-
Área total del predio a subdividir;
-
Área útil;
-
Área de vías y aceras;
-
Área de afectación;
-
Área de protección;
-
De ser el caso área verde y equipamiento comunal;
-
Densidad poblacional bruta y neta utilizada en el anteproyecto, cuyo cálculo se realizará
conforme a la presente ordenanza;
-
Listado total de lotes: numeración continua y superficie; y,
3. Memoria Fotográfica: que contendrá fotografías donde se debe apreciar la vista frontal, el
entorno, los accesos, obras instaladas y colindantes del lote a subdividir; cada una de las
fotografías deberá contener la descripción de lo mostrado. (deberá ser presentada en una hoja
formato A4 y en formato digital)";Sí
ORD-052;Habilitación del suelo, edificación y licencias urbanísticas;Procedimiento para el Otorgamiento de la Licencia Urbanística de Subdivisión.;Artículo 52;"Las solicitudes de Licencias Urbanísticas de Subdivisiones de dos a diez predios que requieran la
realización de obras de infraestructura básica se tramitarán mediante procedimiento general.";Sí
ORD-053;Habilitación del suelo, edificación y licencias urbanísticas;Requisitos para el Otorgamiento de Licencias Urbanísticas de Subdivisión de dos a diez predios que requieran la realización de obras de infraestructura básica.;Artículo 53;"● Solicitud en formulario normalizado, dirigida al Director de Gestión de Ordenamiento
Territorial o Patrimonio según corresponda, suscrito por el o los propietarios y el profesional
responsable, en el caso que el propietario sea una persona jurídica será suscrito por el
representante legal;
● Un original en físico y digital en formato dwg o dxf más las coordenadas geográficas en
formato Excel del proyecto Técnico de Subdivisión para efecto de revisión de la propuesta, una
vez que la misma sea aprobada deberá presentarse 2 originales adicionales.
● Comprobante de pago de tasa administrativa;
● Certificado de gravámenes actualizado;
● Comprobante de pago de la compensación de áreas verdes, de ser el caso;
● Copia del RUC y patente del profesional responsable;
● Aprobación del Anteproyecto con sus habilitantes (IPRUS, planos del anteproyecto aprobados,
memoria técnica);
● Constancia de la entrega de garantías de cumplimiento;
● Cronograma General de ejecución de obras con su respectivo análisis de precios unitarios y
presupuesto general, en el caso de que proyecten vías vehiculares o peatonales, área verde y
equipamiento urbano, el cual correrá a partir que el administrado realice la notificación de
inicio de obra;
● Estudios de ingeniería respectivos aprobados por las dependencias competentes;
● Pago de impuesto predial;
● Certificado de no adeudar al GADMR.
● Visto bueno del cuerpo de bomberos
Requisitos complementarios:
● En caso de copropiedad la designación de un representante común, que podrá realizarse en el
formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o
mediante poder.";Sí
ORD-054;Habilitación del suelo, edificación y licencias urbanísticas;Contenido de la propuesta técnica de Subdivisión de dos a diez predios que requieran la realización de obras de infraestructura básica.;Artículo 54;"El proyecto técnico, contendrá lo siguiente:
1. Memoria Técnica que contendrá el detalle de la propuesta de subdivisión con los siguientes
datos:
● Linderos y dimensiones generales, con cuadro de coordenadas y área total del predio.
● Linderos y dimensiones de los lotes propuestos, con cuadro de coordenadas y área de cada
predio.
● De ser el caso, área, linderos y dimensiones de la propuesta de área verde y comunal con
cuadro de coordenadas.
● Linderos y dimensiones de propuesta de vías y cuadro de coordenadas y área de vías
propuestas.
● Cuadro de áreas de acuerdo al plano de propuesta.
2. Planos en formato A1 o A0, con lo siguiente:
● Ubicación georeferenciada que debe abarcar una zona de 500 m. de radio, con su correcta
orientación y nombres de calles, en la que se identifique claramente el predio donde se
implantará el proyecto (Sin escala);
● Levantamiento planimétrico y/o topográfico georeferenciado del terreno en el sistema de
coordenadas oficial UTM, WGS 84, zona 17, latitud Sur, en el que se indique de ser el caso
las construcciones existentes, líneas de alta tensión, acequias, canales de riego y quebradas,
con sus respectivos márgenes de protección, en el que se hará constar las dimensiones de los
linderos, detalle de los colindantes, con el que se certificó el IPRUS respectivo;
● Propuesta vial observando: conectividad con la trama vial aprobada por el GADM de
Riobamba en un radio mínimo de 500 m., las dimensiones y características de las vías que se
especifican en la Normas de Arquitectura y Construcción para accesos vehiculares y
respetando las afectaciones que se especifican en el PUGS;
● Propuesta de fraccionamiento de lotes con determinación de linderos, dimensiones y cabidas,
de acuerdo a lo establecido en las Normas de Arquitectura y Construcción y en el Plan de
Uso y Gestión de Suelo;
● Propuesta de adosamientos y retiros, de acuerdo a la norma establecida en el Plan de Uso y
Gestión de Suelo;
● De ser el caso la propuesta y/o diseño de áreas verdes y/o comunal;
● Cortes del terreno, para identificar secciones de vías, pendientes, ríos, quebradas y otros.
● Cuadro de datos que contenga:
-
Área total del predio a subdividir;
-
Área útil;
-
Área de vías y aceras;
-
Área de afectación;
-
Área de protección;
-
De ser el caso área verde y comunal;
-
Densidad poblacional bruta y neta utilizada en el anteproyecto, cuyo cálculo se realizará
conforme a la presente ordenanza;
-
Listado total de lotes: numeración continua y superficie; y,
3. Memoria Fotográfica: contendrá fotografías donde se debe apreciar la vista frontal, el entorno,
los accesos, obras instaladas y colindantes de los lotes a subdividir; cada una de las fotografías
deberá contener la descripción de lo mostrado. (deberá ser presentada en una hoja formato A4
y en formato digital).";Sí
ORD-055;Habilitación del suelo, edificación y licencias urbanísticas;Procedimiento para el Otorgamiento de la Licencia Urbanística de Subdivisión.;Artículo 55;"Las solicitudes de Licencias Urbanísticas de Subdivisiones de dos a diez predios que tengan acceso a
una vía pública y cuenten con obras de infraestructura básica se tramitará mediante procedimiento
simplificado.";Sí
ORD-056;Habilitación del suelo, edificación y licencias urbanísticas;Requisitos para el Otorgamiento de Licencias Urbanísticas de Subdivisión de dos a diez predios sin obras;Artículo 56;"Solicitud en formulario normalizado, dirigida al Director de Gestión de Ordenamiento
●
Territorial o Patrimonio según corresponda, suscrito por el o los propietarios y el profesional
responsable, en el caso que el propietario sea una persona jurídica será suscrito por el
representante legal;
●
Un original en físico y digital en formato dwg o dxf más las coordenadas geográficas en
formato Excel del proyecto Técnico de Subdivisión para efecto de revisión de la propuesta,
una vez que la misma sea aprobada deberá presentarse 2 originales adicionales.
●
Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente);
●
Comprobante de pago de tasa administrativa;
●
Copia simple del título que justifique la propiedad del inmueble inscrita en el Registro de la
Propiedad y Certificado de gravámenes actualizado.
●
Comprobante de pago de la compensación de áreas verdes, de ser el caso;
●
Copia del RUC y patente del profesional responsable;
●
Si el predio se encuentra en zona urbana, disponibilidad de servicio por parte de las empresas
de agua potable, energía eléctrica y telecomunicaciones;
●
En el caso de predios rurales, certificación vial emitida o propuesta aprobada por el ente
competente.
Pago de impuesto predial;
●
●
Certificado de no adeudar al GADMR.
Requisitos complementarios:
●
En caso de copropiedad la designación de un representante común, que podrá realizarse en el
formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o
mediante poder.";Sí
ORD-057;Habilitación del suelo, edificación y licencias urbanísticas;Contenido de la Propuesta del Proyecto Técnico de Subdivisiones.;Artículo 57;"Para la tramitación de la Licencia Urbanística de Subdivisión será necesaria la presentación del
Proyecto Técnico suscrito por el propietario del predio, el promotor en caso de que corresponda y los
profesionales técnicos respectivos, y contendrá lo siguiente:
1. Memoria Técnica que contendrá el detalle de la propuesta de subdivisión con los siguientes
datos:
●
Linderos y dimensiones generales, con cuadro de coordenadas y área total del predio.
●
Linderos y dimensiones de los lotes propuestos, con cuadro de coordenadas y área de cada
predio.
●
De ser el caso, linderos y dimensiones de propuesta de área verde y cuadro de coordenadas y
área del predio. Caso contrario justificar en amparo al Art. 424 del COOTAD y lo detallado en
la presente ordenanza.
●
Cuadro de áreas de acuerdo al plano de propuesta.
2. Planos en formato A1 o A0 según normas INEN, y archivo digital con lo siguiente:
● Ubicación georeferenciada que debe abarcar una zona de 300 m. de radio, con su correcta
orientación y nombres de calles, en la que se identifique claramente el predio donde se
implantará el proyecto (Sin escala);
● Levantamiento planimétrico y/o topográfico georeferenciado del terreno en el sistema de
coordenadas oficial UTM, WGS 84, zona 17, latitud Sur, en el que se indiquen las vías
existentes y de ser el caso las construcciones existentes, líneas de alta tensión, acequias, canales
de riego y quebradas, con sus respectivos márgenes de protección, en el que se hará constar las
dimensiones de los linderos, detalle de los colindantes, con el que se certificó el IPRUS
respectivo.
● Propuesta de fraccionamiento de lotes con determinación de linderos, dimensiones y cabidas,
de acuerdo a lo establecido en las Normas de Arquitectura y Construcción y en el Plan de Uso
y Gestión de Suelo;
● Propuesta de adosamientos y retiros, de acuerdo a la norma establecida en el Plan de Uso y
Gestión de Suelo;
● De ser el caso la propuesta y/o diseño de áreas verdes y/o equipamiento comunitario;
● Cortes del terreno, para identificar secciones de vías, pendientes, ríos, quebradas y otros.
● Cuadro de datos que contenga:
-
Área total del predio a subdividir;
-
Área útil;
-
Áreas de afectación;
-
Áreas de protección;
-
De ser el caso área verde y equipamiento comunal;
-
Densidad poblacional bruta y neta utilizada en el proyecto, cuyo cálculo se realizará conforme
a la presente ordenanza;
-
Listado total de lotes: numeración continua, y superficie; y,
3. Memoria Fotográfica: donde se debe apreciar la vista frontal, el entorno, los accesos, obras
instaladas y colindantes del lote a subdividir; cada una de las fotografías deberá contener la
descripción de lo mostrado. (deberá ser presentada en una hoja formato A4 y en formato digital).";Sí
ORD-058;Habilitación del suelo, edificación y licencias urbanísticas;Procedimiento para el Otorgamiento de la Licencia Urbanística de Fraccionamiento Agrícola.;Artículo 58;"Las solicitudes de Licencias Urbanísticas de Fraccionamiento Agrícola se tramitarán mediante
procedimiento simplificado.";Sí
