Codigo;Componente;Tema;Articulo;Texto_Articulo;Activo
ORD-011;Complementación del PUGS;Notificación para que se realice la construcción o el mantenimiento del cerramiento, o el cuidado del predio.;Artículo 11;"La Dirección de Gestión de Ordenamiento Territorial a través del Subproceso de Avalúos y Catastros,
dentro de los primeros 15 días del mes de enero de cada año, notificará en forma general a todos los
propietarios de los predios a través de la página web institucional y en un periódico de amplia
circulación del Cantón Riobamba para que cumplan con la obligación de construir el cerramiento en
un plazo no mayor a 120 días; o de realizar el mantenimiento del cerramiento o cuidado del predio
en un plazo no mayor a 45 días, contabilizados desde la fecha de la respectiva notificación;
informando de las sanciones en caso de incumplimiento.
En la misma publicación se pondrá en conocimiento el procedimiento y requisitos para obtener la
Autorización Urbanística de Edificación de Obras Menores para la construcción del cerramiento.";Sí
ORD-012;Complementación del PUGS;De los Planes Parciales.;Artículo 12;"Son instrumentos de planificación y ordenamiento territorial de menor escala, que sirve para realizar
un ejercicio de planeamiento pormenorizado de una zona o sector urbano específico y suelo rural de
expansión urbana, áreas de promoción de regulación especial; que merece un cambio o actualización
de la zonificación. El plan parcial procurará establecer los mecanismos de captación o recuperación
del mayor valor del suelo por asignación de mejor normativa de aprovechamiento en suelo y
edificación. Conforme lo determinado en el Plan de Uso y Gestión de Suelo del Cantón Riobamba.";Sí
ORD-013;Complementación del PUGS;Obligatoriedad del Plan Parcial.;Artículo 13;"Los planes parciales serán de aplicación obligatoria en suelo de expansión urbana y contendrán la
selección de los instrumentos de gestión, determinaciones para su aplicación y la definición de las
unidades de actuación necesarias de acuerdo con lo definido en la Ley Orgánica de Ordenamiento
Territorial, Uso y Gestión del Suelo. Los planes parciales serán obligatorios en caso de aplicación del
reajuste de terrenos, integración inmobiliaria, cooperación entre partícipes cuando se apliquen
mecanismos de reparto equitativo de cargas y beneficios, así como en la modificación de usos de
suelo y en la autorización de un mayor aprovechamiento del suelo.";Sí
ORD-014;Complementación del PUGS;Del contenido del Plan Parcial.;Artículo 14;"Los planes parciales contendrán:
a) Diagnóstico de las condiciones actuales, delimitación, características, estructura o
condiciones físicas del área del plan y su entorno inmediato;
b) Análisis e incorporación de suelo rural de expansión urbana a suelo urbano, conforme los
lineamientos del Ministerio de Agricultura y Ganadería, así como, del Ministerio del
Ambiente, cuando corresponda;
c) Identificación y determinación de los mecanismos de regularización de asentamientos
precarios o informales, cuando corresponda;
d) Delimitación de las unidades de actuación urbana necesarias, conforme con lo establecido en
el Plan de Uso y Gestión de Suelo;
e) Articulación y concordancia con lo previsto en el Plan de Ordenamiento Territorial Municipal
y en su correspondiente Plan de Uso y Gestión del Suelo;
f) Mecanismos de planificación y ordenamiento del territorio;
g) Mecanismos de gestión del suelo;
h) Mecanismos de participación ciudadana y coordinación público privada; y,
i) Conclusiones y Anexos.";Sí
ORD-015;Complementación del PUGS;De los requisitos para la aprobación de planes parciales.;Artículo 15;"Al estudio correspondiente al Plan Parcial se deberán adjuntar los siguientes requisitos:
● Solicitud en especie valorada, dirigida al Director de Gestión de Ordenamiento
Territorial, suscrito por el profesional responsable.
● En el caso de que el plan parcial sea propuesto por iniciativa privada se deberá anexar
las firmas de aceptación de al menos el 50% los propietarios de los predios que se
encuentren dentro del área de estudio.
● Levantamiento planimétrico o topográfico en formato digital (shapefile) en formato
shape, Datum WGS 84, Zona 17 Sur, Sistema de coordenadas UTM que delimite de
manera clara y precisa la zona de interés, objeto de la solicitud.
● Catastro gráfico y alfanumérico actualizado del área solicitada y del área colindante.";Sí
ORD-016;Complementación del PUGS;Procedimiento para la aprobación de los planes parciales.;Artículo 16;"Una vez se cuenten con el estudio correspondiente al plan parcial, y los requisitos indicados se
realizará el siguiente procedimiento:
1. Cuando la propuesta de plan parcial sea de iniciativa privada el trámite iniciará con la
presentación por parte del interesado de la solicitud dirigida al Director de Gestión de
Ordenamiento Territorial con el estudio correspondiente al Plan Parcial y los requisitos.
2. El trámite se asignará al equipo técnico que para el efecto designe el Director de Gestión de
Ordenamiento Territorial para que analice la propuesta del plan parcial; y, emita el informe
técnico respectivo.
3. Si del análisis técnico se desprende que la propuesta no es factible, se dispondrá la devolución y
archivo del mismo mediante resolución administrativa, dejando a salvo el derecho del
administrado volver a presentar una nueva solicitud.
Si el informe técnico es favorable, será puesto en conocimiento del Director de Gestión de
Ordenamiento Territorial a fin de que se traslade a la Comisión de Ordenamiento Territorial,
Urbanismo y Vivienda, para que luego del respectivo análisis emita el dictamen orientando la
decisión del Concejo Municipal, para lo cual elaborará y adjuntará la respectiva propuesta de
ordenanza.
4. El Concejo Municipal conocerá y analizará la propuesta de plan parcial, el informe técnico y, el
dictamen de la Comisión de Ordenamiento Territorial, Urbanismo y Vivienda, el cual se aprobará
mediante ordenanza.
Cuando la propuesta sea de iniciativa institucional, se presentará al Director de Gestión de
Ordenamiento Territorial del GAD Municipal del cantón Riobamba el respectivo informe técnico en
el que se adjuntaran los requisitos. Informe que será trasladado a la Comisión de Ordenamiento
Territorial para su análisis y dictamen, el cual será puesto en conocimiento del Concejo Municipal
para su aprobación mediante ordenanza.";Sí
ORD-017;Complementación del PUGS;De los polígonos Especiales de Interés Social.;Artículo 17;"Los polígonos especiales de interés social son aquellas áreas circundantes al límite urbano en el sector
rural, que están perdiendo su vocación agrícola productiva, y transformándose en asentamientos
humanos concentrados y dispersos ocupados espontáneamente, sin ninguna planificación y
ordenamiento territorial. Estas zonas de planeamiento podrán ser transformadas a suelo rural de
expansión urbana de ser el caso de acuerdo con el diagnóstico realizado, y previa justificación, podrá
ser incorporado al suelo urbano una vez cumplido el tiempo establecido para la revisión del
componente estructurante del PUGS o técnicamente justificada y en coherencia con el plan de
desarrollo y ordenamiento territorial.
Este instrumento tiene por objeto la planificación territorial del sector y la identificación de la
consolidación de predios que tienen clara vocación de urbanización y que pueden ser integrados a la
planificación urbana de la ciudad, siempre y cuando no estén ubicados en áreas de protección o de
riesgo, y que hubieren perdido la vocación y valor agrícola productivo total o parcialmente.
Los Polígonos de Interés Social se encuentran definidos en el Plan de Uso y Gestión de Suelo,
pudiendo ser transformados a corto, mediano y largo plazo; de suelo rural a suelo rural de expansión
urbana y de este último a suelo urbano; según normas y procedimientos establecidos por la Ley de la
materia y norma urbana vigente.
Esta herramienta de planificación será únicamente de iniciativa municipal.";Sí
ORD-018;Complementación del PUGS;Del estudio de los Polígonos Especiales de Interés Social.;Artículo 18;"El estudio de los Polígonos Especiales de Interés Social será realizado mediante la contratación de
Consultorías especializadas o con el personal técnico que la Dirección de Gestión de Ordenamiento
Territorial establezca para tal efecto. Estudios de los cuales se obtendrán los insumos para el
cumplimiento de los contenidos mínimos establecidos en el presente capítulo.
Una vez se cuente con los estudios y de ser necesario sobre el territorio identificado (Unidades de
Actuación Urbanística) se deberá tramitar la Autorización del Cambio de Uso de Suelo, de acuerdo a
la normativa legal vigente.
Dicha documentación será trasladada al Director de Gestión de Ordenamiento Territorial a fin de que
sea puesta en conocimiento de la Máxima Autoridad del GADM Riobamba quien correrá traslado al
Ministerio de Agricultura y Ganadería para su revisión y Resolución.";Sí
ORD-019;Complementación del PUGS;Contenido mínimo de los estudios de Polígonos Especiales de Interés Social.;Artículo 19;"El estudio de los Polígonos Especiales de Interés Social, contendrá como mínimo:
a) Diagnóstico de las condiciones actuales, delimitación, características, estructura o
condiciones físicas, químicas, biológicas del suelo correspondiente al área del plan y su
entorno inmediato;
b) Análisis e incorporación de suelo rural a suelo rural de expansión urbana, conforme los
lineamientos del Ministerio de Agricultura y Ganadería, así como, del Ministerio del
Ambiente;
c) Identificación y determinación de los mecanismos de regularización de asentamientos
precarios o informales;
d) Delimitación de las unidades de actuación urbanística necesarias, conforme con lo
establecido en el Plan de Uso y Gestión de Suelo;
e) Articulación y concordancia con lo previsto en el Plan de Ordenamiento Territorial Municipal
y en su correspondiente Plan de Uso y Gestión del Suelo;
f) Mecanismos de planificación y ordenamiento del territorio;
g) Mecanismos de gestión del suelo;
h) Mecanismos de participación ciudadana y coordinación público privada; y,
i) Conclusiones y Anexos.
j) Levantamiento planimétrico o topográfico en formato digital (shapefile) en formato shape,
Datum WGS 84, Zona 17 Sur, Sistema de coordenadas UTM que delimite e identifique de
manera clara y precisa la zona de interés, objeto de la solicitud de cambio de uso de suelo.
k) Catastro gráfico y alfanumérico actualizado del área de estudio.";Sí
ORD-020;Complementación del PUGS;De la aprobación de los Polígonos Especiales de interés Social.;Artículo 20;"Una vez se cuente con la Autorización de cambio de Uso de Suelo emitida por el ente competente se
realizará el siguiente procedimiento:
1. El equipo técnico, designado por el Director de Gestión de Ordenamiento Territorial, procederá
a la elaboración de la propuesta técnica normativa del Polígono Especial de Interés Social en
concordancia al estudio realizado, a fin de que sea puesto en conocimiento del Director de Gestión
de Ordenamiento Territorial quien trasladará la propuesta a la Comisión de Ordenamiento
Territorial, Urbanismo y Vivienda, para que luego del respectivo análisis emita el dictamen
orientando la decisión del Concejo Municipal, para lo cual elaborará y adjuntará la respectiva
propuesta de ordenanza.
2. El Concejo Municipal conocerá y analizará la propuesta del Polígono Especial de Interés social,
y, el dictamen de la Comisión de Ordenamiento Territorial, Urbanismo y Vivienda, el cual se
aprobará mediante ordenanza.";Sí
