clas_suelo;codigo_pit;lote_min;edif_bas;edif_max;altura_min;altura_max;implantac;f_min;r_frontal;r_lateral;r_posterio;cos_pb;cos_total;cos_total_c;u_principa
URBANO;PIP_Terminal;0;3;NO APLICA;18;;AISLADA;0;5;5;5;50;150;NO APLICA;Equipamiento de Transporte
URBANO;Z1B;250;6;8;18;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;80;480;560;Residencial de mediana densidad
URBANO;ZH1_ZH1;200;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;80;240;280;Mixto Patrimonial
URBANO;Z14TIV_EJ9;250;8;10;24;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;680;850;Residencial de mediana densidad
URBANO;PIP_RECREACION;0;-;---;-;;NO APLICA;0;0;0;0;60;60;---;Equipamiento de Recreación y Deporte
URBANO;PIP_UNACH;0;1-8;8;5 - 40;;AISLADA;0;5;5;5;60;60;480;Equipamiento de Educación
URBANO;PIP_Maldonado;0;6;8;18;;AISLADA;0;5;3;3;60;360;480;Equipamiento de Recreación y Deporte
URBANO;PIP_Administrativo;200;7;9;21;;AISLADA;10;3;3;3;85;595;765;Equipamiento de Administración Pública
URBANO;Z16;180;5;NO APLICA;15;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;80;400%;NO APLICA;Residencial de mediana densidad
URBANO;PIP_BMI;500;5;6;15;;PAREADA;15;5;3;3;50;250;300;Industrial Bajo Impacto, Mediano Impacto
URBANO;PIP_Camal;500;5;---;15;;PAREADA;15;5;3;3;50;250;---;Industrial Bajo Impacto, Mediano Impacto
URBANO;CUP-51;200;2;---;6;;CONTINUA CON RETIRO POSTERIOR;15;0;0;3;60;240;;Residencial de baja densidad
URBANO;CUP-56_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;140;;Mixto Patrimonial
URBANO;CUP-57;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-56;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;140;;Residencial de baja densidad
URBANO;CUP-57_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-58_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-58;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;140;;Residencial de baja densidad
URBANO;CUP-59_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-59;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-60_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-60;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-53_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-53;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-61_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-52_P;100;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-61;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-52;100;2;---;6;;CONTINUA CON RETIRO POSTERIOR;9;0;0;3;70;240;;Residencial de baja densidad
URBANO;CUP-54_P;200;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
URBANO;CUP-54;200;2;---;6;;CONTINUA CON RETIRO POSTERIOR;15;0;0;3;60;240;;Residencial de baja densidad
URBANO;CUP-51_P;200;3;---;9;;CONTINUA A LINEA DE FABRICA;0;0;0;3;80;240;;Mixto Patrimonial
RURAL;AE;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Explotación Minera
RURAL;PETZ-ZA;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
