Articulo;Norma;Titulo;Texto;Activo
98;Ordenanza 016-2023;Requisitos documentales;Los requisitos para el trámite deberán cumplir lo dispuesto en el artículo correspondiente de la Ordenanza 016-2023.;Sí
92;Ordenanza 016-2023;Componentes del proyecto técnico;El proyecto técnico de edificación de obras mayores deberá observar los componentes previstos en la normativa municipal vigente.;Sí
